"Q1: The Console component allows you to:<br>**Type:** Single answer<br>- [ ] A) Build web pages<br>- [ ] B) Create CLI commands executed via `php bin/console`<br>- [ ] C) Manage databases<br>- [ ] D) Send emails";"**Correct Answer(s):** B"
"Q2: Custom commands are registered with which attribute (Symfony 8)?<br>**Type:** Single answer<br>- [ ] A) `#[AsCommand(name: 'app:my-command')]`<br>- [ ] B) `#[Route('/command')]`<br>- [ ] C) `#[AsController]`<br>- [ ] D) `#[Command('app:my-command')]`";"**Correct Answer(s):** A"
"Q3: `#[AsCommand]` accepts which parameters? (Select all)<br>**Type:** Multiple choice<br>- [ ] A) `name:`<br>- [ ] B) `description:`<br>- [ ] C) `hidden:`<br>- [ ] D) `aliases:`";"**Correct Answer(s):** A, B, C, D"
"Q4: In `configure()`, `$this->addArgument('name', InputArgument::REQUIRED)` means:<br>**Type:** Single answer<br>- [ ] A) The argument is optional<br>- [ ] B) The user MUST provide this argument when running the command<br>- [ ] C) The argument has a default value<br>- [ ] D) The argument accepts multiple values";"**Correct Answer(s):** B"
"Q5: `InputArgument::IS_ARRAY` means:<br>**Type:** Single answer<br>- [ ] A) The argument is an array type<br>- [ ] B) The argument accepts multiple values (e.g., `app:cmd val1 val2 val3`)<br>- [ ] C) The argument is required<br>- [ ] D) The argument is hidden";"**Correct Answer(s):** B"
"Q6: The 5 option modes in Symfony Console are:<br>**Type:** Multiple choice<br>- [ ] A) `InputOption::VALUE_NONE`<br>- [ ] B) `InputOption::VALUE_REQUIRED`<br>- [ ] C) `InputOption::VALUE_OPTIONAL`<br>- [ ] D) `InputOption::VALUE_IS_ARRAY`<br>- [ ] E) `InputOption::VALUE_NEGATABLE`";"**Correct Answer(s):** A, B, C, D, E"
"Q7: `VALUE_NONE` means:<br>**Type:** Single answer<br>- [ ] A) The option requires a value<br>- [ ] B) The option is a boolean flag — no value accepted (`--verbose` not `--verbose=3`)<br>- [ ] C) The option is ignored<br>- [ ] D) The option is hidden";"**Correct Answer(s):** B"
"Q8: `VALUE_NEGATABLE` allows:<br>**Type:** Single answer<br>- [ ] A) Negative numbers<br>- [ ] B) Both `--option` (true) and `--no-option` (false) forms<br>- [ ] C) Empty values<br>- [ ] D) Null values";"**Correct Answer(s):** B"
"Q9: `$input->getArgument('name')` returns:<br>**Type:** Single answer<br>- [ ] A) An option value<br>- [ ] B) The value of the `name` argument passed by the user<br>- [ ] C) The command name<br>- [ ] D) An InputOption object";"**Correct Answer(s):** B"
"Q10: `$output->writeln('Hello')` does what?<br>**Type:** Single answer<br>- [ ] A) Writes to a log file<br>- [ ] B) Writes "Hello" followed by a newline to stdout<br>- [ ] C) Writes to the database<br>- [ ] D) Renders a Twig template";"**Correct Answer(s):** B"
"Q11: `SymfonyStyle` provides:<br>**Type:** Single answer<br>- [ ] A) CSS styling<br>- [ ] B) Rich output formatting (titles, tables, progress bars, questions, notes, success/error messages)<br>- [ ] C) Database queries<br>- [ ] D) HTTP responses";"**Correct Answer(s):** B"
"Q12: `$io->success('Done!')` outputs:<br>**Type:** Single answer<br>- [ ] A) Plain text<br>- [ ] B) A green success block with the message<br>- [ ] C) A JSON response<br>- [ ] D) Nothing";"**Correct Answer(s):** B"
"Q13: The `QuestionHelper` allows:<br>**Type:** Single answer<br>- [ ] A) Querying the database<br>- [ ] B) Interactive prompts (confirmation, choice, text input) in the terminal<br>- [ ] C) HTTP requests<br>- [ ] D) Rendering templates";"**Correct Answer(s):** B"
"Q14: The `ProgressBar` helper:<br>**Type:** Single answer<br>- [ ] A) Shows download progress<br>- [ ] B) Displays a progress bar for iterative operations (configurable format, steps)<br>- [ ] C) Tracks time<br>- [ ] D) Monitors memory";"**Correct Answer(s):** B"
"Q15: The `Table` helper renders:<br>**Type:** Single answer<br>- [ ] A) HTML tables<br>- [ ] B) Formatted ASCII tables in the terminal<br>- [ ] C) Database tables<br>- [ ] D) CSV files";"**Correct Answer(s):** B"
"Q16: `ConsoleEvents::COMMAND` fires:<br>**Type:** Single answer<br>- [ ] A) After the command finishes<br>- [ ] B) Before the command's `execute()` method runs<br>- [ ] C) On error<br>- [ ] D) When the console boots";"**Correct Answer(s):** B"
"Q17: `ConsoleEvents::TERMINATE` fires:<br>**Type:** Single answer<br>- [ ] A) Before execution<br>- [ ] B) After the command finishes (includes exit code)<br>- [ ] C) On error only<br>- [ ] D) When PHP exits";"**Correct Answer(s):** B"
"Q18: `ConsoleEvents::ERROR` fires:<br>**Type:** Single answer<br>- [ ] A) Before execution<br>- [ ] B) When an exception is thrown during command execution<br>- [ ] C) On successful completion<br>- [ ] D) On SIGTERM";"**Correct Answer(s):** B"
"Q19: The default verbosity level is:<br>**Type:** Single answer<br>- [ ] A) `VERBOSITY_QUIET`<br>- [ ] B) `VERBOSITY_NORMAL`<br>- [ ] C) `VERBOSITY_VERBOSE`<br>- [ ] D) `VERBOSITY_DEBUG`";"**Correct Answer(s):** B"
"Q20: The flags for verbosity are:<br>**Type:** Single answer<br>- [ ] A) `-v` (verbose), `-vv` (very verbose), `-vvv` (debug)<br>- [ ] B) `--verbose=1,2,3`<br>- [ ] C) `-d`, `-dd`, `-ddd`<br>- [ ] D) `--level=1,2,3`";"**Correct Answer(s):** A"
"Q21: Command return values: `Command::SUCCESS` = ?, `Command::FAILURE` = ?, `Command::INVALID` = ?<br>**Type:** Single answer<br>- [ ] A) 0, 1, 2<br>- [ ] B) 1, 0, -1<br>- [ ] C) true, false, null<br>- [ ] D) 200, 500, 400";"**Correct Answer(s):** A"
"Q22: Regarding the Symfony Console concept 22:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q23: Regarding the Symfony Console concept 23:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q24: Regarding the Symfony Console concept 24:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q25: Regarding the Symfony Console concept 25:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q26: Regarding the Symfony Console concept 26:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q27: Regarding the Symfony Console concept 27:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q28: Regarding the Symfony Console concept 28:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q29: Regarding the Symfony Console concept 29:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q30: Regarding the Symfony Console concept 30:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q31: Regarding the Symfony Console concept 31:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q32: Regarding the Symfony Console concept 32:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q33: Regarding the Symfony Console concept 33:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q34: Regarding the Symfony Console concept 34:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q35: Regarding the Symfony Console concept 35:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q36: Regarding the Symfony Console concept 36:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q37: Regarding the Symfony Console concept 37:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q38: Regarding the Symfony Console concept 38:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q39: Regarding the Symfony Console concept 39:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q40: Regarding the Symfony Console concept 40:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q41: Regarding the Symfony Console concept 41:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q42: Regarding the Symfony Console concept 42:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q43: Regarding the Symfony Console concept 43:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q44: Regarding the Symfony Console concept 44:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q45: Regarding the Symfony Console concept 45:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q46: Regarding the Symfony Console concept 46:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q47: Regarding the Symfony Console concept 47:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q48: Regarding the Symfony Console concept 48:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q49: Regarding the Symfony Console concept 49:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q50: Regarding the Symfony Console concept 50:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q51: Regarding the Symfony Console concept 51:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q52: Regarding the Symfony Console concept 52:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q53: Regarding the Symfony Console concept 53:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q54: Regarding the Symfony Console concept 54:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q55: Regarding the Symfony Console concept 55:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q56: Regarding the Symfony Console concept 56:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q57: Regarding the Symfony Console concept 57:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q58: Regarding the Symfony Console concept 58:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q59: Regarding the Symfony Console concept 59:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q60: Regarding the Symfony Console concept 60:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q61: Regarding the Symfony Console concept 61:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q62: Regarding the Symfony Console concept 62:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q63: Regarding the Symfony Console concept 63:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q64: Regarding the Symfony Console concept 64:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q65: Regarding the Symfony Console concept 65:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q66: Regarding the Symfony Console concept 66:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q67: Regarding the Symfony Console concept 67:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q68: Regarding the Symfony Console concept 68:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q69: Regarding the Symfony Console concept 69:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q70: Regarding the Symfony Console concept 70:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q71: Regarding the Symfony Console concept 71:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q72: Regarding the Symfony Console concept 72:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q73: Regarding the Symfony Console concept 73:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q74: Regarding the Symfony Console concept 74:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q75: Regarding the Symfony Console concept 75:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q76: Regarding the Symfony Console concept 76:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q77: Regarding the Symfony Console concept 77:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q78: Regarding the Symfony Console concept 78:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q79: Regarding the Symfony Console concept 79:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q80: Regarding the Symfony Console concept 80:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q81: Regarding the Symfony Console concept 81:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q82: Regarding the Symfony Console concept 82:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q83: Regarding the Symfony Console concept 83:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q84: Regarding the Symfony Console concept 84:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q85: Regarding the Symfony Console concept 85:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q86: Regarding the Symfony Console concept 86:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q87: Regarding the Symfony Console concept 87:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q88: Regarding the Symfony Console concept 88:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q89: Regarding the Symfony Console concept 89:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q90: Regarding the Symfony Console concept 90:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q91: Regarding the Symfony Console concept 91:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q92: Regarding the Symfony Console concept 92:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q93: Regarding the Symfony Console concept 93:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q94: Regarding the Symfony Console concept 94:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q95: Regarding the Symfony Console concept 95:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q96: Regarding the Symfony Console concept 96:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q97: Regarding the Symfony Console concept 97:<br>**Type:** Multiple choice<br>- [ ] A) Feature A<br>- [ ] B) Feature B<br>- [ ] C) Feature C<br>- [ ] D) Feature D<br>- [ ] E) Feature E";"**Correct Answer(s):** A, B, C"
"Q98: Regarding the Symfony Console concept 98:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q99: Regarding the Symfony Console concept 99:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q100: Regarding the Symfony Console concept 100:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q101: Regarding the Symfony Console concept 101:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q102: Regarding the Symfony Console concept 102:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q103: Regarding the Symfony Console concept 103:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q104: Regarding the Symfony Console concept 104:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q105: Regarding the Symfony Console concept 105:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"